Date,Video Folder,Video #,Trial,Tank,Group,Novel Food,Novel Start,novel_bite1,novel_bite2,novel_bite3,novel_bite4,novel_bite5,novel_bite6,novel_bite7,novel_bite8,,,,,,,,,
8/15/17,RH1 81517,3,1,2,2F,Brine,No novel food,NA,NA,,,,,,,,,,,,,,,
8/17/17,RH4 81717,"1,2,3,4,5,6,7,8,9,10,11,12",2,7,2C,Bead,No novel food,NA,NA,,,,,,,,,,,,,,,
8/17/17,RH4 81717,"1,2,3,4,5,6,7,8,9,10,11,12",2,8,2D,Bead,No video post novel food,NA,NA,,,,,,,,,,,,,,,
8/17/17,RH5 81717,"1,2,3,4,5,6,7,8",2,9,4C,Bead,No video post novel food,NA,NA,,,,,,,,,,,,,,,
8/17/17,RH5 81717,"1,2,3,4,5,6,7,8",2,10,4D,Bead,No video post novel food,NA,NA,,,,,,,,,,,,,,,
8/17/17,RH6 81717,"1,2,3,4,5,6,7,8,9,10",2,11,8E,Bead,No video post novel food,NA,NA,,,,,,,,,,,,,,,
8/17/17,RH6 81717,"1,2,3,4,5,6,7,8,9,10",2,12,8G,Bead,No video post novel food,NA,NA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
